"Havaintoasema","Vuosi","Kuukausi","Päivä","Aika [Paikallinen aika]","Lämpötilan keskiarvo [°C]","Ylin lämpötila [°C]","Alin lämpötila [°C]"
"Helsinki Kumpula","2024","1","10","04:00","0.5","0.6","0.4"
"Helsinki Kumpula","2024","1","10","05:00","0.7","0.7","0.6"
"Helsinki Kumpula","2024","1","10","06:00","0.6","0.7","0.6"
"Helsinki Kumpula","2024","1","10","07:00","0.6","0.6","0.5"
"Helsinki Kumpula","2024","1","10","08:00","0.4","0.5","0.4"
"Helsinki Kumpula","2024","1","10","09:00","0.5","0.6","0.4"
"Helsinki Kumpula","2024","1","10","10:00","0.6","0.7","0.5"
"Helsinki Kumpula","2024","1","10","11:00","1","1.2","0.7"
"Helsinki Kumpula","2024","1","10","12:00","1.4","1.5","1.2"
"Helsinki Kumpula","2024","1","10","13:00","1.7","2","1.4"
"Helsinki Kumpula","2024","1","10","14:00","1.9","2","1.8"
"Helsinki Kumpula","2024","1","10","15:00","2","2.2","1.8"
"Helsinki Kumpula","2024","1","10","16:00","1.7","1.9","1.5"
"Helsinki Kumpula","2024","1","10","17:00","1.4","1.6","1.3"
"Helsinki Kumpula","2024","1","10","18:00","1.4","1.5","1.3"
"Helsinki Kumpula","2024","1","10","19:00","1.3","1.4","1.1"
"Helsinki Kumpula","2024","1","10","20:00","1.3","1.5","1.1"
"Helsinki Kumpula","2024","1","10","21:00","1.3","1.5","1.1"
"Helsinki Kumpula","2024","1","10","22:00","1.4","1.7","0.9"
"Helsinki Kumpula","2024","1","10","23:00","1.6","1.9","1.1"
"Helsinki Kumpula","2024","1","11","00:00","1.6","1.9","1.2"
"Helsinki Kumpula","2024","1","11","01:00","1.7","1.9","1.5"
"Helsinki Kumpula","2024","1","11","02:00","1.5","1.8","1.4"
"Helsinki Kumpula","2024","1","11","03:00","1.8","2.1","1.6"
"Helsinki Kumpula","2024","1","11","04:00","2.1","2.3","1.9"
"Helsinki Kumpula","2024","1","11","05:00","1.7","1.9","1.4"
"Helsinki Kumpula","2024","1","11","06:00","1.3","1.5","1.1"
"Helsinki Kumpula","2024","1","11","07:00","0.6","1.1","0.1"
"Helsinki Kumpula","2024","1","11","08:00","-0.1","0.1","-0.3"
"Helsinki Kumpula","2024","1","11","09:00","-1.3","-0.3","-1.6"
"Helsinki Kumpula","2024","1","11","10:00","-2.6","-1.6","-3.3"
"Helsinki Kumpula","2024","1","11","11:00","-3.7","-3.3","-4"
"Helsinki Kumpula","2024","1","11","12:00","-4.1","-4","-4.2"
"Helsinki Kumpula","2024","1","11","13:00","-4.2","-4.1","-4.4"
"Helsinki Kumpula","2024","1","11","14:00","-4.6","-4.4","-4.8"
"Helsinki Kumpula","2024","1","11","15:00","-5.1","-4.8","-5.5"
"Helsinki Kumpula","2024","1","11","16:00","-5.9","-5.5","-6.3"
"Helsinki Kumpula","2024","1","11","17:00","-6.7","-6.4","-7.2"
"Helsinki Kumpula","2024","1","11","18:00","-7.4","-7.1","-7.7"
"Helsinki Kumpula","2024","1","11","19:00","-8","-7.6","-8.3"
"Helsinki Kumpula","2024","1","11","20:00","-8.7","-8.2","-9.2"
"Helsinki Kumpula","2024","1","11","21:00","-9.8","-9.1","-10.4"
"Helsinki Kumpula","2024","1","11","22:00","-10.6","-10.3","-11.1"
"Helsinki Kumpula","2024","1","11","23:00","-11","-10.7","-11.4"
"Helsinki Kumpula","2024","1","12","00:00","-11","-10.8","-11.2"
"Helsinki Kumpula","2024","1","12","01:00","-11","-10.8","-11.2"
"Helsinki Kumpula","2024","1","12","02:00","-10.9","-10.7","-11.1"
"Helsinki Kumpula","2024","1","12","03:00","-10.7","-10.6","-10.9"
"Helsinki Kumpula","2024","1","12","04:00","-10.4","-10.2","-10.6"
"Helsinki Kumpula","2024","1","12","05:00","-10","-9.6","-10.2"
"Helsinki Kumpula","2024","1","12","06:00","-9.3","-9.1","-9.7"
"Helsinki Kumpula","2024","1","12","07:00","-8.8","-8.1","-9.2"
"Helsinki Kumpula","2024","1","12","08:00","-7","-5.2","-8.1"
"Helsinki Kumpula","2024","1","12","09:00","-4.6","-4.3","-5.1"
"Helsinki Kumpula","2024","1","12","10:00","-4.4","-4.2","-4.6"
"Helsinki Kumpula","2024","1","12","11:00","-4.5","-4.3","-4.6"
"Helsinki Kumpula","2024","1","12","12:00","-4.4","-4.3","-4.4"
"Helsinki Kumpula","2024","1","12","13:00","-4.2","-4","-4.3"
"Helsinki Kumpula","2024","1","12","14:00","-4.4","-4.1","-4.8"
"Helsinki Kumpula","2024","1","12","15:00","-4.9","-4.7","-4.9"
"Helsinki Kumpula","2024","1","12","16:00","-4.6","-4.4","-5.1"
"Helsinki Kumpula","2024","1","12","17:00","-6.2","-5.2","-7.8"
"Helsinki Kumpula","2024","1","12","18:00","-9","-7.8","-9.8"
"Helsinki Kumpula","2024","1","12","19:00","-10.4","-9.8","-10.9"
"Helsinki Kumpula","2024","1","12","20:00","-11.5","-10.9","-12"
"Helsinki Kumpula","2024","1","12","21:00","-12.4","-12","-12.8"
"Helsinki Kumpula","2024","1","12","22:00","-12.7","-12.6","-12.8"
"Helsinki Kumpula","2024","1","12","23:00","-13.2","-12.7","-13.8"
"Helsinki Kumpula","2024","1","13","00:00","-13.9","-13.7","-14.2"
"Helsinki Kumpula","2024","1","13","01:00","-15.1","-14.2","-16.1"
"Helsinki Kumpula","2024","1","13","02:00","-16","-15.5","-16.6"
"Helsinki Kumpula","2024","1","13","03:00","-16.6","-16.1","-17.2"
"Helsinki Kumpula","2024","1","13","04:00","-15.6","-15","-16.9"
